casenew	weighta	P550tpr	P344pr	P425r	A172	A093r	A094r	A121r	SexHRP	A049r	G018r	G019r	Gorx	weightar	maininc	income	expenditure	hhsize
14689	5.70014104246817	149.790199271203	222.812	2	2	4	5	3	2	1	1	1	6	1.09237865170621	1	222.811996459961	149.790191650391	1
14689	6.33712221721608	1175	1184.99	2	1	4	5	3	2	2	2	1	7	1.21445012882392	1	1184.98999023438	1175	2
14686	4.19390474360358	554.081715843422	1126.8375	1	1	1	1	3	1	4	2	3	2	.803722570208232	0	1126.83752441406	554.081726074219	4
14680	3.70153647106385	704.420333135451	1015.92	1	1	1	1	3	1	5	2	3	5	.709364801568359	0	1015.91998291016	704.420349121094	5
14678	4.65774248771068	493.475019040677	743.34	1	1	1	3	3	1	3	2	2	6	.892612730248689	0	743.340026855469	493.475006103516	3
14673	5.49280490272656	756.025255363626	1184.99	1	1	1	1	3	1	1	1	1	7	1.05264462212809	0	1184.98999023438	756.025268554688	1
14663	3.97342423838299	705.847790947391	1006.30525641026	1	1	1	1	3	1	4	2	3	10	.761469546076731	0	1006.30523681641	705.847778320313	4
14659	3.89371512338447	157.363322476989	330.98	2	2	4	5	3	1	1	1	1	8	.746194040624838	1	330.980010986328	157.363327026367	1
14659	9.17162963442843	581.851030783622	587.68	1	1	2	3	3	2	2	2	1	6	1.75765693153225	0	587.679992675781	581.851013183594	2
14654	3.7468167535349	499.961607625333	499.45	1	1	2	2	3	2	3	1	3	8	.718042343675839	0	499.450012207031	499.961608886719	3
14650	9.49422744025777	491.625	406.17	2	1	2	4	2	1	4	4	1	11	1.81947978004595	1	406.170013427734	491.625	4
14645	5.75441309890653	111.339751116955	259.09	2	2	4	5	1	1	2	2	1	11	1.10277938309088	1	259.089996337891	111.339752197266	2
14644	6.83234276894009	361.768681937744	902.4475	1	1	2	1	3	2	3	2	2	3	1.30935451005923	0	902.447509765625	361.768676757813	3
14641	4.89817662582654	340.892706354604	1103.435	1	1	1	1	3	1	1	1	1	6	.938689681268382	0	1103.43505859375	340.892700195313	1
14638	5.31145372362896	310.929593333434	767.81	1	1	1	3	3	1	4	2	3	6	1.01789036692071	0	767.809997558594	310.929595947266	4
14637	4.09558757943599	166.04	174.69	2	1	4	2	1	2	1	1	1	4	.784881006388531	1	174.690002441406	166.039993286133	1
14632	5.3536923302183	890.976340842035	608.6225	2	1	2	2	3	2	2	2	1	9	1.0259850003293	1	608.622497558594	890.976318359375	2
14631	5.73178773029403	275.242972605624	610.79	1	1	1	3	3	1	4	2	3	11	1.098443443072	0	610.789978027344	275.242980957031	4
14630	10.6180371089176	79.32	165.962	2	2	4	5	1	2	1	1	1	5	2.03484737910688	1	165.962005615234	79.3199996948242	1
14629	5.62084052776848	663.892492379791	964.55	1	1	1	3	3	1	3	2	2	4	1.07718145067524	0	964.549987792969	663.892517089844	3
14628	5.57147579122293	310.225589479045	648.245	1	1	1	3	3	1	3	2	2	11	1.06772116119333	0	648.244995117188	310.2255859375	3
14627	4.90359644003795	460.528353633911	0	2	1	3	3	1	2	2	2	1	11	.939728337908042	1	0	460.528350830078	2
14626	10.3686625716881	1036.84020329337	1184.99	1	1	1	1	3	1	4	4	1	9	1.98705708431959	0	1184.98999023438	1036.84020996094	4
14625	5.60950830647189	277.251020966325	322.37	1	1	1	2	1	2	3	2	2	5	1.07500973658456	0	322.369995117188	277.251007080078	3
14621	3.83610773449118	477.339238471052	344.644	2	1	4	5	3	1	2	2	1	8	.735154124008966	1	344.644012451172	477.339233398438	2
14617	6.77055113891388	1175	1184.99	2	1	4	5	3	2	1	1	1	9	1.29751272281364	1	1184.98999023438	1175	1
14612	4.21794394870218	324.734162926162	433.24	1	1	1	1	2	2	1	1	1	4	.80832945874977	0	433.239990234375	324.734161376953	1
14611	9.1417940953935	1175	950.02	1	1	1	1	2	1	2	2	1	7	1.7519392298717	0	950.02001953125	1175	2
14610	4.2346308560423	331.601030438893	753.34	1	1	1	1	2	2	1	1	1	8	.811527348276634	0	753.340026855469	331.601043701172	1
14609	4.43178866356059	1175	1184.99	2	1	4	5	3	1	2	2	1	7	.849310795799349	1	1184.98999023438	1175	2
14608	5.48706651779232	791.452954461977	1184.99	1	1	1	1	3	1	2	2	1	5	1.05154491439266	0	1184.98999023438	791.452941894531	2
14605	4.32014876504831	205.38874370602	216.5	1	1	1	2	2	2	1	1	1	5	.827916054703495	0	216.5	205.388748168945	1
14604	4.5108279099727	157.631051838305	150.042	2	2	4	5	1	2	1	1	1	3	.864457927209654	1	150.042007446289	157.631057739258	1
14599	4.98963813158762	332.09	409.794	2	1	4	2	1	2	3	2	2	2	.956217422354424	1	409.794006347656	332.089996337891	3
